name,description,image,perfumeHouse,notes,product_url
Frog Moon: Fern and Black Lichen,$30.00,https://blackphoenixalchemylab.com/wp-content/uploads/2025/04/FERN-AND-BLACK-LICHEN-lunacy-duet-frog-moon-april-2025-WEB-600x910.jpg,Black Phoenix Alchemy Lab,"[""little lunacy"", ""black lichen"", ""fern""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/lunacy/frog-moon-fern-and-black-lichen-perfume-oil/
R’Lyeh,"Ph’nglui mglw’nafh Cthulhu R’lyeh wgah’nagl fhtagn.The sunken city of the Great God Cthulhu. A hellishly dark aquatic scent, evocative of fathomless oceanic deeps, the mysteries of madness buried under crushing black waters, and the brooding eternal evil that lies beneath the waves.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Rlyeh-1-600x468.jpg,Black Phoenix Alchemy Lab,"[""dark"", ""oceanic"", ""cthulhu"", ""black water"", ""madness"", ""evil"", ""h.p. lovecraft"", ""brooding""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/a-picnic-in-arkham/rlyeh/
Lavender Honey Cake,"Every crumb sticks to the fork: a dense, lightly-spiced cake glazed in raw honey gathered from bees who thrive on lavender nectar.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/11/LAVENDER-HONEY-CAKE-Yule-Lavender-Kitchen-WEB-600x452.jpg,Black Phoenix Alchemy Lab,"[""vegan"", ""honey"", ""yule 2023"", ""lavender"", ""november 2023"", ""cake"", ""the lavender kitchen"", ""lavender nectar"", ""honey - raw""]",https://blackphoenixalchemylab.com/shop/in-memoriam/yule/yule-2023/the-lavender-kitchen/lavender-honey-cake-perfume-oil/
Namaste,"A Sanskrit blessing and word of greeting that bears a powerful symbolism. It represents the Oneness of all of existence, the union of matter and spirit, perfect wholeness. It is accompanied by a gesture: Anjali — hands pressed together, fingertips heavenward, pressed together over the heart’s chakra.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/10/Namaste-600x467.jpg,Black Phoenix Alchemy Lab,"[""lemongrass"", ""rose"", ""sandalwood"", ""calm"", ""wood - cedar"", ""joy"", ""serious"", ""soothing"", ""jasmine"", ""patchouli""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/bewitching-brews/namaste/
"Lich, I’m Fabulous Hair Gloss","Crypt chic for captivating cadavers: gleaming bone-white sandalwood encrusted with tomb moss, black champaca, and incense smoke.",https://blackphoenixalchemylab.com/wp-content/uploads/2025/01/lich-im-fabulous-hair-gloss-WEB-600x776.jpg,Black Phoenix Alchemy Lab,"[""hair gloss"", ""rpg"", ""champaca - black"", ""sandalwood"", ""sandalwood - white"", ""squirt"", ""moss"", ""black champaca"", ""white sandalwood"", ""incense smoke""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/rpg-series/rpg-hair-gloss/lich-im-fabulous-hair-gloss/
Patientia Bath,Please note all bath oils are 4oz,https://blackphoenixalchemylab.com/wp-content/uploads/2019/05/Patientia-600x1063.jpg,Black Phoenix Alchemy Lab,"[""palmarosa"", ""sage"", ""sandalwood"", ""cardamom"", ""bath oil"", ""benzoin"", ""calamus""]",https://blackphoenixalchemylab.com/shop/bath/bath-oils/patientia-bath-oil/
Merlot and Frankincense,$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2023/11/merlot-and-frankincense-holiday-vice-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""wine - merlot"", ""yule 2023"", ""holiday vice duet"", ""november 2023"", ""frankincense""]",https://blackphoenixalchemylab.com/shop/in-memoriam/yule/yule-2023/holiday-vice-duets/merlot-and-frankincense-perfume-oil/
The Acrobats,Gustave Doré,https://blackphoenixalchemylab.com/wp-content/uploads/2024/04/acrobats-fools-2024-WEB-600x800.jpg,Black Phoenix Alchemy Lab,"[""oud - rum"", ""apricot - dried"", ""tea leaf - blackened"", ""amber - russet"", ""fig - wild""]",https://blackphoenixalchemylab.com/shop/in-memoriam/surely-you-jest/the-acrobats-perfume-oil/
A Bundle of Asparagus,"Adriaen CoorteThis isn’t an asparagus-scented perfume, though it occurs to me that I should make one someday. I found out recently that May is National Asparagus Month, so here you go. This scent is vaguely inspired by asparagus, but mostly inspired by the flicker of surprise that I felt when I found out there was a month dedicated to asparagus.",https://blackphoenixalchemylab.com/wp-content/uploads/2025/05/A-bundle-of-asparagus-may-art-idle-moon-lunacy-2025-WEB-600x795.jpg,Black Phoenix Alchemy Lab,"[""lime"", ""vegetal""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/ars-anni/a-bundle-of-asparagus-perfume-oil/
The Third Veil,"Separation, the veil of distinction.A tumble of pearly pale-blue chiffon shot through with slashes of white ginger and lined with ivory satin rosettes.",https://blackphoenixalchemylab.com/wp-content/uploads/2025/02/The-Third-Veil-The-Seven-Veils-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""ginger - white"", ""the seven veil"", ""white ginger"", ""blue chiffon"", ""ginger""]",https://blackphoenixalchemylab.com/shop/lupercalia-2025/the-seven-veils/the-third-veil-perfume-oil/
"Black Rose, Nutmeg, and Smoked Amber",$28.00,https://blackphoenixalchemylab.com/wp-content/uploads/2023/11/BLACK-ROSE-NUTMEG-AND-SMOKED-AMBER-menage-WEB-2023.jpg,Black Phoenix Alchemy Lab,"[""amber - smoked"", ""menage a trois 2023"", ""nutmeg"", ""little lunacy"", ""rose - black""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/menage-a-trois/black-rose-nutmeg-and-smoked-amber-perfume-oil/
Filthy Peach Pulp,"Boo, you whore. Our trampiest peach to-date: overripe peach pulp infused with red musk, sultry black velvet musk, sweet honeyed fig, frilly vanilla, balsamic amber, and raw dark patchouli.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/08/FILTHY-PEACH-PULP-dragoncon-peach-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""honeyed fig"", ""musk - black velvet"", ""red musk"", ""patchouli - dark"", ""musk"", ""with red musk"", ""amber"", ""vanilla"", ""peach pulp"", ""peach""]",https://blackphoenixalchemylab.com/shop/in-memoriam/virtualcon/virtualcon-atlanta-2024/filthy-peach-pulp-perfume-oil/
Film Noir Femme Fatale Experiment,"Created for a shelved cinema project. A sultry amber perfume with dark berry notes and wild plum, with rosewood, tuberose, opoponax, and black honey.",https://blackphoenixalchemylab.com/wp-content/uploads/2022/07/film-noir-femme-fatale-experiment-augean-stables-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""purge 2022"", ""honey"", ""amber"", ""black honey""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/the-purge/film-noir-femme-fatale-experiment-perfume-oil/
