name,description,image,perfumeHouse,notes,product_url
Snow White Hair Gloss,"A chilly, bright perfume: flurries of virgin snow, crisp winter wind and the faintest breath of night-blooming flowers.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/snow-white-2024-yule-hair-gloss-WEB-600x600.jpg,Black Phoenix Alchemy Lab,[],https://blackphoenixalchemylab.com/shop/yule-2024/yule-hair-gloss/snow-white-hair-gloss-2/
Delight,"In ancient India it was believed that a specific combination of flower petals, when strewn across a couple’s bed, would amplify desire and sexual pleasure. This blend is a blend of the same floral essences, refined into a gloriously sinful perfume blend. Frangipani, with rose, tuberose, and jasmine.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Delight-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""tuberose"", ""floral"", ""desire"", ""combination of flower"", ""frangipani"", ""jasmine""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/ars-amatoria/delight/
Murió la Verdad,Francisco Goya,https://blackphoenixalchemylab.com/wp-content/uploads/2025/01/Murio-la-verdad-goose-moon-january-2025-art-WEB-600x476.jpg,Black Phoenix Alchemy Lab,"[""agarwood"", ""angelica root"", ""orris absolute"", ""tonka bean - smoked"", ""vanilla bourbon"", ""sandalwood - brown"", ""fig wood"", ""tolu balsam""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/ars-anni/murio-la-verdad-perfume-oil/
Greed,"Base and earthy, yet glittering with golden notes: patchouli, heliotrope, copal and oakmoss.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/Greed-600x467.jpg,Black Phoenix Alchemy Lab,"[""heliotrope"", ""earthy"", ""copal"", ""oakmoss"", ""golden"", ""greed"", ""patchouli"", ""golden notes""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/sin-and-salvation/the-seven-deadly-sins/greed/
Scherezade,"A master storyteller who possessed unfailing courage and compassion, a sharp, quick wit, and a true understanding of human nature. Saffron and Middle Eastern spices swirled through sensual red musk.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Scherezede-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""red musk"", ""musk"", ""musk - red"", ""sensual red musk"", ""saffron""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/bewitching-brews/scherezade/
"Dead Leaves, Burnt Marshmallows, Clove Cream, and Whiskey",$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/DEAD-LEAVES-BURNT-MARSHMALLOWS-CLOVE-CREAM-AND-WHISKEY-pile-of-leaves-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""marshmallow - burnt"", ""whiskey"", ""clove cream""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/pile-of-leaves-2024/dead-leaves-burnt-marshmallows-clove-cream-and-whiskey-perfume-oil/
"Gently, Gently, They are Timid","Softly, softly, hear the rustleOf the Spirits airy wings;They are coming down to mingleOnce again with earthly things,With their rapping, and their tappingRap-tap-tap to wake our napping,In the restless dream of error:Hear the weird the Spirit brings –Rap-tap-tap lost friends are near you;Rap-tap-tap they see and hear you;In their mystic converse rappyThey declare good Spirits happy.Gently, gently, they are timidIf a medium is not there;They may leave you in delusion,And dissolve again to air.Tis no fable – beings able –Rap-tap-tap upon a table;And their language is translated,While the watch with guardian careRap-tap-tap lost friends are near you;Rap-tap-tap they see and hear you;In their mystic converse rappyThey declare good Spirits happy",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/gently-gently-evening-with-the-spirits-2024-WEB-600x484.jpg,Black Phoenix Alchemy Lab,"[""orange - candied"", ""peppercorn - pink"", ""honey - white"", ""freesia petal"", ""vanilla bean"", ""sugar""]",https://blackphoenixalchemylab.com/shop/yule-2024/an-evening-with-the-spirits-2024/gently-gently-they-are-timid-perfume-oil/
The Day Burned White,"Using the door, which was centrally placed in the wall like a mouth, the artists had sprayed a single, vast head onto the stripped plaster. The painting was more adroit than most she had seen, rife with detail that lent the image an unsettling veracity. The cheekbones jutting through skin the color of buttermilk; the teeth, sharpened to irregular points, all converging on the door. The sitter’s eyes were, owing to the room’s low ceiling, set mere inches above the upper lip, but this physical adjustment only lent force to the image, giving the impression that he had thrown his head back. Knotted strands of his hair snaked from his scalp across the ceiling. Was it a portrait? There was something naggingly specific in the details of the brows and the lines around the wide mouth; in the careful picturing of those vicious teeth. A nightmare certainly: a facsimile, perhaps, of something from a heroin fugue. Whatever its origins, it was potent. Even the illusion of door-as-mouth worked. The short passageway between living room and bedroom offered a passable throat, with a tattered lamp in lieu of tonsils. Beyond the gullet, the day burned white in the nightmare’s belly. The whole effect brought to mind a ghost train painting. The same heroic deformity, the same unashamed intention to scare. And it worked; she stood in the bedroom almost stupefied by the picture, its red-rimmed eyes fixing her mercilessly.",https://blackphoenixalchemylab.com/wp-content/uploads/2014/01/The-Day-Burned-White.png,Black Phoenix Alchemy Lab,"[""amber - golden"", ""amber - white"", ""white in"", ""oakmoss"", ""sickly"", ""buttermilk"", ""chalky"", ""sweet"", ""moss - spanish"", ""plaster""]",https://blackphoenixalchemylab.com/shop/clive-barker/the-forbidden/day-burned-white/
Boney Moon: Spiced Chestnut and Honey,$30.00,https://blackphoenixalchemylab.com/wp-content/uploads/2025/03/SPICED-CHESTNUT-AND-HONEY-LUNACY-DUETS-2025-WEB-600x910.jpg,Black Phoenix Alchemy Lab,"[""chestnut - spiced"", ""little lunacy"", ""honey""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/lunacy/boney-moon-spiced-chestnut-and-honey-perfume-oil/
Pomegranate Ink 2024,$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/POMEGRANATE-INK-pomegranate-grove-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""grove of pomegranate"", ""pomegranate"", ""ink""]",https://blackphoenixalchemylab.com/shop/yule-2024/grove-of-pomegranates/pomegranate-ink-2024-perfume-oil/
Kabuki,"Compelling, complex, and utterly enigmatic: a luxuriant, exotic blend of cherry, red musk, and star anise.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Kabuki-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""exotic"", ""cherry"", ""red musk"", ""musk"", ""musk - red"", ""star anise"", ""luxurious""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/ars-amatoria/kabuki/
Zombie Milk,"Grave-dry rice milk, black moss, hemp fibers, bone-white sandalwood and orris root, and bog osmanthus.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/09/zombie-milk-halloween-milks-WEB-600x483.jpg,Black Phoenix Alchemy Lab,"[""black moss"", ""moss - black"", ""monster milk 2023"", ""sandalwood"", ""orris root"", ""bog osmanthus"", ""halloween 2023"", ""hemp"", ""white sandalwood"", ""milk - rice""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween/halloween-2023/monster-milk/zombie-milk-perfume-oil/
Krampus Kreme Latte,"If you don’t have access to fresh Krampus Kreme, store-bought is fine! Here’s a warm draught for the naughty-listers: hazelnuts, almonds, and coffee beans sweetened with heavy cream froth and honey and spiced with ginger, black pepper, black cardamom, and cacao.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/krampus-kreme-latte-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""almond"", ""coffee"", ""hazelnut"", ""honey"", ""black cardamom"", ""cardamom - black"", ""krampus"", ""cardamom"", ""cacao"", ""black pepper""]",https://blackphoenixalchemylab.com/shop/yule-2024/krampus-2024/krampus-kreme-latte/
Druids Cutting Mistletoe on the Sixth Day of the Moon,Henri Paul Motte,https://blackphoenixalchemylab.com/wp-content/uploads/2023/03/Druids-Cutting-the-Mistletoe-on-the-Sixth-Day-of-the-Moon-december-2022-art-WEB-600x774.jpg,Black Phoenix Alchemy Lab,"[""march 2023"", ""birch sap"", ""poplar - black"", ""hazel nut"", ""mugwort"", ""burdock root"", ""oak bark"", ""ash leaf"", ""wych elm"", ""watermint""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/closing-out-the-year-with-some-decemberish-art-bits/druids-cutting-mistletoe-on-the-sixth-day-of-the-moon-perfume-oil/
Exotic Bazaar Home & Linen Spray,"Nepalese amber, white sandalwood, black peppercorn, ambrette seed, neroli, coconut sugar, cardamom pods, ginger, fennel, bitter almond, liquorice root, henna, copaiba balsam, and spikenard.",https://blackphoenixalchemylab.com/wp-content/uploads/2019/06/Exotic-Bazaar3.jpg,Black Phoenix Alchemy Lab,"[""ambrette seed"", ""rpg"", ""home & linen spray"", ""almond - bitter"", ""peppercorn - black"", ""balsam - copaiba"", ""sandalwood"", ""spikenard"", ""amber"", ""neroli""]",https://blackphoenixalchemylab.com/shop/home-linen/home-linen-spray/exotic-bazaar-home-linen-spray/
Blood,"A vital, bold scent, throbbing with sensuality. Essence of dragon’s blood resin, thickened with myrrh and cherry, with a trickle of clove.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Blood-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""vital"", ""cherry"", ""resin"", ""clove"", ""myrrh"", ""sensual"", ""dragon's blood"", ""bold""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/bewitching-brews/blood-2/
Swarmageddon,The cry of the cicada,https://blackphoenixalchemylab.com/wp-content/uploads/2024/05/swarmageddon-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""ambrette seed"", ""dragon's blood resin"", ""leaf"", ""sage - clary"", ""licorice root"", ""tonka bean"", ""oakmoss"", ""labdanum"", ""patchouli - 13 year aged"", ""vanilla bourbon""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/swarmageddon-perfume-oil/
The Rose,"When they found that their father must take a journey to the ship, the two eldest begged he would not fail to bring them back some new gowns, caps, rings, and all sorts of trinkets. But Beauty asked for nothing; for she thought in herself that all the ship was worth would hardly buy everything her sisters wished for. “Beauty,” said the merchant, “how comes it that you ask for nothing: what can I bring you, my child?”",https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/rose-600x467.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""rose stem"", ""sap"", ""rose leaf"", ""rose - red""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/marchen/beauty-and-the-beast/the-rose/
Chocolate Babka,A diasporic take on an ancestral dessert: braided chocolate rye bread with a sliver of almond paste filling.,https://blackphoenixalchemylab.com/wp-content/uploads/2022/03/CHOCOLATE-BABKA-ukraine-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""almond"", ""rye bread"", ""chocolate"", ""ukraine"", ""almond paste"", ""activism""]",https://blackphoenixalchemylab.com/shop/activism/fundraiser-for-ukraine/chocolate-babka-perfume-oil/
"White Chocolate, Orange Blossom, Sugar Crystals, and Champagne",$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/WHITE-CHOCOLATE-ORANGE-BLOSSOM-SUGAR-CRYSTALS-AND-CHAMPAGNE-box-of-chocolates-2024-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""chocolate \u2014 white"", ""sugar crystal"", ""champagne"", ""orange blossom""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/lupercalia-2024/box-of-chocolates-2024/white-chocolate-orange-blossom-sugar-crystals-and-champagne-perfume-oil/
"Roses, Pearls, and Rubies","Rose petal incense, twinkling white musk, sensuous labdanum, rhubarb, dried strawberries, and red amber.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/Roses-Pearls-and-Rubies-Amphibians-Lapidary-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""twinkling white musk"", ""musk - white"", ""musk"", ""rhubarb"", ""labdanum"", ""amber"", ""red amber"", ""strawberry - dried"", ""amber - red""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/lupercalia-2024/the-amphibians-lapidary/roses-pearls-rubies-perfume-oil/
Adam,"Adam, oursuicidally romantic scoundrel. His scent is a palette of somber colors, melancholy memories, and lupine, savage beauty: black leather, pale sandalwood, ambergris accord, and the memory of a long-lost Victorian fougère.His internal life seems to be reflected in his lair, so his perfume also possesses the scent of the wood of his guitars, the rosin from his violin bow, the musty wool of neglected Oriental carpets, the plastic, metal, and magnetic tape of his reel-to-reel, the dust that permeates everything.",https://blackphoenixalchemylab.com/wp-content/uploads/2014/06/Adam.jpg,Black Phoenix Alchemy Lab,"[""ambergris accord"", ""beauty"", ""sandalwood"", ""rosin"", ""of the wood"", ""black leather"", ""savage"", ""wool"", ""melancholy"", ""fougere""]",https://blackphoenixalchemylab.com/shop/only-lovers-left-alive/character-scents/adam/
Skogtroll,"Our gruesome blend of ghastly greens and blacks, now streaked with blue-white: frozen and snow-packed vetiver, pine pitch, troll musk, elemi, camphor, black basil, eucalyptus blossom, clove smoke, and scorched cumin.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/11/SKOGTROLL-2-Snow-On-Snow-label-WEB-600x452.jpg,Black Phoenix Alchemy Lab,"[""pine pitch"", ""pine"", ""cumin - scorched"", ""black basil"", ""elemi"", ""snow on snow 2023"", ""basil"", ""troll musk"", ""eucalyptus blossom"", ""november 2023""]",https://blackphoenixalchemylab.com/shop/in-memoriam/yule/yule-2023/snow-on-snow-snow-on-snow-yule-2023/skogtroll-perfume-oil/
Koi No Yatsufuji,"Red musk chypre draped in silk cords, abalone accord, black tea, frankincense, polished teakwood, plum leaf, and cognac.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/Koi-no-Yatsufuji-shunga-2024-WEB-600x432.jpg,Black Phoenix Alchemy Lab,"[""cognac"", ""red musk"", ""musk"", ""tea"", ""black tea"", ""musk - red chypre"", ""plum leaf"", ""tea - black"", ""teakwood"", ""frankincense""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/novel-ideas-for-secret-amusements-2024/koi-no-yatsufuji-perfume-oil/
Vintage Ghost Blow Mold,"Milky-white plastic and a hollow gasp of candy-corn breath, illuminated from within by 40 watts of glowing amber.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/09/Halloween-GC-VINTAGE-GHOST-BLOW-MOLD-web-600x452.jpg,Black Phoenix Alchemy Lab,"[""white plastic"", ""amber"", ""milk"", ""halloween 2023"", ""halloween main 2023"", ""candy corn"", ""amber - glowing""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween/halloween-2023/vintage-ghost-blow-mold-perfume-oil/
Shells,Bartolomeo Bimbi,https://blackphoenixalchemylab.com/wp-content/uploads/2022/08/shells-AUGUST-ART-WEB-600x490.jpg,Black Phoenix Alchemy Lab,"[""pearl - crushed"", ""tonka bean"", ""abalone"", ""august 2022"", ""labdanum"", ""pearl"", ""oud"", ""birch"", ""musk - russet"", ""balsam of peru""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/illustrations-of-a-scorching-august/shells-perfume-oil/
O,"The scent of sexual obsession, slavery to sensual pleasure, and the undercurrent of innocence defiled utterly. Amber and honey with a touch of vanilla.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/09/O-600x467.jpg,Black Phoenix Alchemy Lab,"[""sexual obsession"", ""honey"", ""amber"", ""vanilla"", ""sensual"", ""innocence defiled""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/ars-amatoria/o/
Snake Oil Hair Gloss,"Snake Oil was one of my first creations, one of the original BPAL scents, and is as bound up with my own history as it is with the history of Black Phoenix. It is the scent I wore on my wedding day, the scent I wore while giving birth to my child, and it is as much a part of me as my own eyes, breath, or limbs.",https://blackphoenixalchemylab.com/wp-content/uploads/2019/02/Snake-oil-hair-gloss.jpg,Black Phoenix Alchemy Lab,"[""snake oil"", ""black phoenix"", ""hair gloss"", ""vanilla""]",https://blackphoenixalchemylab.com/shop/body-beauty/hair-gloss/snake-oil-hair-gloss/
No. 93 Engine,"Beeswax candles reflect flickering light onto a brass-coated boiler engraved with the words “Solve Et Coagula”. The gargantuan boiler sends torrents of steam into rigid pipes that exert force onto innumerable pistons and turbine blades. The motion is harnessed to propel energy into gargantuan cogs and gears that move liquid metals, herbs, and resins into a series of alembics.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/No-93-Engine-1-600x468.jpg,Black Phoenix Alchemy Lab,"[""balsam - peruvian"", ""lemon balm"", ""sage"", ""hyssop"", ""mastic"", ""frankincense"", ""balm of gilead"", ""beeswax"", ""benzoin"", ""saffron""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/steamworks/no-93-engine/
Santa Doesn’t Need Your Help,"A calming, affirming fragrance to help motivate Santa through the daunting tasks which await him year after year: sugar plum lavender marshmallows.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/11/SANTA-Web-600x473.jpg,Black Phoenix Alchemy Lab,"[""marshmallow"", ""yule 2023"", ""lavender"", ""november 2023"", ""yule main 2023"", ""sugar plum""]",https://blackphoenixalchemylab.com/shop/in-memoriam/yule/yule-2023/santa-doesnt-need-your-help-yule-2023/santa-doesnt-need-your-help-perfume-oil-2/
"Who Would Not Tremble, Too? 2024","The new discovery of “Table Moving,” by means of an unseen power from the human hand, has only been introduced into England within the last few weeks; but it would be difficult to dingle out any scientific subject which has with such rapidity, taken so extensive a hold of the popular mind. If we travel by railway carriage, steamboat, or omnibus, this is the universal topic of conversation. From the aristocratic saloons of Belgravia to the “Parlours” of Whitechapel – the Green Park to the Cat and Mutton Fields, “table moving” is all the rage. From the Royal Institution, where the secretary pokes his head through a forest of electrical apparatus, to inform the audience that the facts are established, down to the humblest Mechanics’ Institute, all are full of it, and the tables, to quote the words of the old song – “are all a moving, move, move, moving,” – Every evening party must of course have its experiments; accordingly, gentlemen come provided with very elegant chapeaux for the occasion, and many an innocent flirtation occurs consequent on the proper arrangement of the little fingers of some of the fair operators. As “sweet eighteen,” with her blue eyes and golden locks, gracefully links her little finger with Charles’s, in a retired corner, what wonder if the hat should tremble? And Charles, being of course fond of poetry (his very name is a guarantee for that), cannot resist softly breathing into Lucy’s ear, that exquisite line from Waller, on his fair one’s harp –",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/who-would-not-tremble-too-evening-with-the-spirits-2024-WEB-600x484.jpg,Black Phoenix Alchemy Lab,"[""apple - green"", ""golden lock"", ""sandalwood - white"", ""honey - white"", ""lily of the valley"", ""orange blossom"", ""green park"", ""blue eye"", ""tea - jasmine""]",https://blackphoenixalchemylab.com/shop/yule-2024/an-evening-with-the-spirits-2024/who-would-not-tremble-too-2024-perfume-oil/
Ogygia,"On to Pieria he stepped from the upper air, and swooped down upon the sea, and then sped over the wave like a bird, the cormorant, which in quest of fish over the dread gulfs of the unresting sea wets its thick plumage in the brine. In such wise did Hermes ride upon the multitudinous waves. But when he had reached the island which lay afar, then forth from the violet sea he came to land, and went his way until he came to a great cave, wherein dwelt the fair-tressed nymph; and he found her within. A great fire was burning on the hearth, and from afar over the isle there was a fragrance of cleft cedar and juniper, as they burned; but she within was singing with a sweet voice as she went to and fro before the loom, weaving with a golden shuttle. Round about the cave grew a luxuriant wood, alder and poplar and sweet-smelling cypress, wherein birds long of wing were wont to nest, owls and falcons and sea-crows with chattering tongues, who ply their business on the sea. And right there about the hollow cave ran trailing a garden vine, in pride of its prime, richly laden with clusters. And fountains four in a row were flowing with bright water hard by one another, turned one this way, one that. And round about soft meadows of violets and parsley were blooming. There even an immortal, who chanced to come, might gaze and marvel, and delight his soul; and there the messenger Argeiphontes stood and marvelled.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/OGYGIA-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""glistritha"", ""wood - cedar"", ""violet"", ""sea air"", ""luxuriant wood"", ""selino"", ""wood - alder"", ""juniper"", ""cedar"", ""parsley""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/wanderlust/ogygia/
Maiden,"A gentle vision of purity, goodness and virtue: white tea, carnation and Damask Rose.",https://blackphoenixalchemylab.com/wp-content/uploads/2012/12/Maiden-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""goodness"", ""tea - white"", ""tea"", ""purity"", ""gentle"", ""white tea"", ""virtue"", ""carnation""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/ars-amatoria/maiden/
"Cold Spring, The Alien",Louisa Starr Canziani,https://blackphoenixalchemylab.com/wp-content/uploads/2023/04/cold-spring-the-alien-march-2023-art-WEB-600x890.jpg,Black Phoenix Alchemy Lab,"[""myrrh tear"", ""tuberose"", ""ochre agarwood"", ""april 2023"", ""april 2023 lunacy"", ""cherry blossom"", ""amber"", ""sandalwood - charred"", ""oakwood"", ""tobacco absolute""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/oml-its-finally-march/cold-spring-the-alien-perfume-oil/
"Fir Needle, Ivy Leaves, Moss, and Patchouli",A menage hiccup.,https://blackphoenixalchemylab.com/wp-content/uploads/2022/07/fir-needle-ivy-leaves-moss-and-patchouli-augean-stables-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""purge 2022"", ""moss"", ""fir needle"", ""ivy leaf"", ""patchouli""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/the-purge/fir-needle-ivy-leaves-moss-and-patchouli-perfume-oil/
Pendel,Alfred Kubin,https://blackphoenixalchemylab.com/wp-content/uploads/2023/04/pendel-february-2023-art-WEB-600x935.jpg,Black Phoenix Alchemy Lab,"[""moss - black"", ""musk - white"", ""opoponax - black"", ""april 2023"", ""april 2023 lunacy"", ""serpent scale"", ""moonmilk"", ""stone""]",https://blackphoenixalchemylab.com/shop/in-memoriam/limited-edition-in-memoriam/paintings-curated-by-someone-living-through-their-first-actual-winter-ode-to-february/pendel-perfume-oil/
Snow Moon 2024,"Some consider December’s full moon to be Snow Moon, but the cold, bleak white silence of February also bears the name. Snowfall is at its heaviest, food is scarce, the past year’s harvest has been exhausted, and driving winds, sleet, and bitter cold make hunting near-impossible. It is a desolate time, a solitary time, a time of conservation and introspection; in February, we are confronted with loneliness and want, and are challenged to find strength in the darkness.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/03/snow-moon-2024-WEB-600x483.jpg,Black Phoenix Alchemy Lab,"[""yuzu"", ""musk - crystalline"", ""apple - frozen"", ""angelica root"", ""tea leaf - white"", ""white silence"", ""snowdrop"", ""little lunacy""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/snow-moon-2024-perfume-oil/
Sea of Glass,"Upon the Sea of Glass, glowing with the perfection of spiritual union and the radiance of true wisdom, rests the throne of God. A scent of inimitable purity, crystalline grace, and limitless light.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/Sea-Of-Glass-600x467.jpg,Black Phoenix Alchemy Lab,"[""purity"", ""wisdom"", ""light"", ""spiritual"", ""grace""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/sin-and-salvation/sea-of-glass/
Champagne and Blood,"Sanguine sensuality with a pop: dragon’s blood resin, Egyptian myrrh, black cherry, clove, and champagne.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/12/champagne-and-blood-CHAMPAGNE-2024-WEB-1-600x473.jpg,Black Phoenix Alchemy Lab,"[""cherry - black"", ""cherry"", ""myrrh - egyptian"", ""clove"", ""november december 2023"", ""myrrh"", ""black cherry"", ""dragon's blood"", ""champagne""]",https://blackphoenixalchemylab.com/shop/in-memoriam/new-years-eve-2024/sufficient-champagne/champagne-and-blood-perfume-oil/
Seventeenth Lash,"Red musk, red pepper, and honeycomb.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/seventeenth-lash-KRAMPUS-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""red pepper"", ""red musk"", ""musk"", ""honey"", ""musk - red"", ""honeycomb"", ""krampus"", ""pepper - red""]",https://blackphoenixalchemylab.com/shop/yule-2024/krampus-2024/seventeenth-lash/
Sturgeon Moon: Salt and Sand Hair Gloss,$30.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/08/salt-and-sand-LUNACY-DUETS-2024-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""little lunacy""]",https://blackphoenixalchemylab.com/shop/body-beauty/hair-gloss/sturgeon-moon-salt-and-sand-hair-gloss/
Hallway of a Train Station,"Wild plums, black tea, a splash of lilac cologne, a flutter of silk, hot iron, steel, and smoke.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/hallway-of-a-train-station-shunga-2024-WEB-600x399.jpg,Black Phoenix Alchemy Lab,"[""tea"", ""black tea"", ""lilac cologne"", ""smoke"", ""steel"", ""hot iron"", ""plum - wild"", ""silk"", ""tea - black""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/novel-ideas-for-secret-amusements-2024/hallway-of-a-train-station-perfume-oil/
Peach Sticky Rice,"Chewy, sugary, and steeped in coconut milk.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/08/PEACH-STICKY-RICE-dragoncon-peach-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""coconut milk"", ""down 4sept24"", ""sugar"", ""coconut"", ""dragon n peach""]",https://blackphoenixalchemylab.com/shop/in-memoriam/virtualcon/virtualcon-atlanta-2024/peach-sticky-rice-perfume-oil/
Dragon’s Heart,"A scent pulsing with vitality, warmth and insurmountable strength: dragon’s blood resin, red and black musks, a throb of fig and a sliver of black currant.",https://blackphoenixalchemylab.com/wp-content/uploads/2018/11/BPAL_logo_circle_Placeholder_T.jpg,Black Phoenix Alchemy Lab,"[""fig"", ""musk - black"", ""black currant"", ""resin"", ""black musks"", ""currant - black"", ""musk - red"", ""red and"", ""dragon's blood""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/ars-draconis/dragons-heart/
Pumpkin Latte,"Espresso, pumpkin syrup, smoky vanilla bean, milk, raw sugar, and a dash of cinnamon and nutmeg.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/pumpkin-LATTE-halloween-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""espresso"", ""cinnamon"", ""pumpkin syrup"", ""vanilla"", ""milk"", ""smoke"", ""nutmeg"", ""sugar - raw"", ""vanilla bean""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/pumpkin-latte-perfume-oil-3/
Poinsettia Gown Hair Gloss,"A perfume simply inspired by a vintage Christmas postcard. Rose cream, jasmine cream, mallow, vanilla foam, and sweet amber.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/11/poinsettia-gown-2024-yule-hair-gloss-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""rose"", ""rose cream"", ""mallow"", ""amber"", ""vanilla"", ""vanilla foam"", ""jasmine cream"", ""amber - sweet"", ""jasmine""]",https://blackphoenixalchemylab.com/shop/yule-2024/yule-hair-gloss/poinsettia-gown-hair-gloss/
Pink Moon: Sugar Crystals and Mandarin,$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/05/Sugar-Crystals-and-Mandarin-PINK-MOON-LUNACY-DUETS-2024-WEB-600x600.jpg,Black Phoenix Alchemy Lab,"[""little lunacy"", ""orange - mandarin"", ""sugar crystal""]",https://blackphoenixalchemylab.com/shop/in-memoriam/a-little-lunacy/pink-moon-sugar-crystals-and-mandarin-perfume-oil/
Fear Nail Polish,"Dark cyan creme, soulsick with terror.",https://blackphoenixalchemylab.com/wp-content/uploads/2019/04/LA-back-Fear.jpg,Black Phoenix Alchemy Lab,"[""nail polish""]",https://blackphoenixalchemylab.com/shop/body-beauty/nail-polish/fear-nail-polish/
