name,description,image,notes,perfumeHouse,url
Fan Dance,"As soft as a feather, it floats over your body, teasing with a hint of the sweetness beneath. Pink plumes cover and uncover powdered skin, revealing only a piece at a time. As coy as it is sensuous, t...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/44c675b2-facb-49bb-87ad-443bd5f131bd/fan+dance.png?format=750w,"[""sugar-dusted tart raspberries"", ""vanilla bean"", ""powdered skin""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/fan-dance
Dancing Dolphins,"Hanging with your friends by the beach, you’re as happy as a dolphin leaping through a sunset sky. All you need is the glossiest and watermelony-est of lip glosses, a box of rainbow Nerds, the splash ...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/9c1de49e-80d9-48f1-ba57-013a1377e0aa/dancing+dolphins++%282%29.png?format=750w,"[""watermelon lip gloss"", ""sweet tart candies"", ""ocean waves"", ""your favorite beach towel""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/dancing-dolphins
Curiouser & Curiouser,"Moments before jumping down the rabbit hole to Wonderland, Alice was drowsing under a tree, contemplating whether or not she had the energy to make daisy chains. This fragrance captures that happy, ca...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/39591fb0-0962-48d2-9358-31e580e6f25f/Curiouser+%26+Curiouser.png?format=750w,"[""daisy chains"", ""blades of grass and a rabbithole"", ""a blue cotton frock"", ""airy vanilla clouds""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/curiouser-and-curiouser
Cloudless Sky,Inspired by Maud Lewis,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/ea2f1587-8bcb-4a54-bfce-0081cbbcb5e3/Cloudless+Sky.png?format=750w,"[""Apples"", ""strawberry and rhubarb sprinkled in sugar and wrapped in tender pastry"", ""a big cup of chamomile tea"", ""a tiny house in the Nova Scotia woods""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/cloudless-sky
Aphrodite,"A dangerous beauty. Let’s not forget that she received the prize of Paris, the golden apple that launched a thousand ships and destroyed the city of Troy.",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/79ab80c5-7012-4c0e-930b-1155c2bbdc5b/Aphrodite+Face.png?format=750w,"[""intoxicating gardenia + jasmine"", ""sparkling champagne"", ""pink peppercorn"", ""lush greenery"", ""amber"", ""velvet musk""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/aphrodite
Cancer Anointing Oil,"Cancers are good at establishing comfortable and secure personal havens filled with nurturing energy. They are ruled by the moon, which embodies comfort, self-care, and maternal energies. We’ve select...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/e46c39ba-b0e6-4c56-a4c6-aafa41e9759d/Cancer-2.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/cancer-anointing-oil
Scout 5 ml Oil Perfume,"The essence of this cake scent is a sweet nostalgia that can temporarily make you feel like everything is going to be alright. We suspect if it could be piped into the atmosphere on a large scale, wor...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/ae048445-bf5c-47b0-bc5b-d8ed3dadb4f3/10Birthday-3.jpg?format=750w,"[""white cake layered with candied cherries and caramelized coconut pecan frosting"", ""and soaked in bourbon""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/scout-oil-perfume
Matilda 5 ml Oil Perfume,"This scent is as brave and bold as its titular heroine. Rich dark chocolate on creamy milk chocolate makes for a very gourmand, almost edible fragrance (please do not actually eat it though), while na...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/c623ddd9-cc96-41bc-8d6b-e9e2cdfb1810/10Birthday-5.jpg?format=750w,"[""fudgy chocolate cake with milk chocolate frosting"", ""coffee"", ""royal sandalwood"", ""amber""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/matilda-oil-perfume
Juliet 5 ml Oil Perfume,"The literary icon who speaks to everyone’s inner emo teen, Juliet inspired a perfume as irresistible as first love. Like love itself, this scent starts with an ecstasy of spicy sweetness -- warm carda...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/d5bcc722-5743-40ea-80b7-bed356b63da3/10Birthday-4.jpg?format=750w,"[""cardamom pistachio olive oil cake with lemon vanilla glaze""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/juliet-oil-perfume
Emma 5 ml Oil Perfume,"You are the best judge of your own happiness, but if your happiness doesn’t involve piles of strawberries, tender white cake, and whipped cream, well better be without sense than misapply it as you do...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/f61d6bee-5c9f-4a81-b8c2-410872ae123c/10Birthday-1.jpg?format=750w,"[""white cake layered with strawberry jam and juicy fresh strawberries and whipped cream""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/emma-oil-perfume
